id,date,command,name,status
1166,2022-05-24,0.1,anonym,OK
1167,2022-05-24,-0.5,anonym,OK
1168,2022-05-24,0.1,anonym,OK
1169,2022-05-24,-0.5,anonym,OK
1170,2022-05-24,michaela,anonym,"syntax error"
1171,2022-05-24,-0.5,anonym,OK
1172,2022-05-24,-0.5,Michaela,OK
1173,2022-05-24,"m1 = 2500; m2 = 320; k1 = 80000; k2 = 500000; b1 = 350; b2 = 15020; A=[0 1 0 0;-(b1*b2)/(m1*m2) 0 ((b1/m1)*((b1/m1)+(b1/m2)+(b2/m2)))-(k1/m1) -(b1/m1);b2/m2 0 -((b1/m1)+(b1/m2)+(b2/m2)) 1;k2/m2 0 -((k1/m1)+(k1/m2)+(k2/m2)) 0]; B=[0 0;1/m1 (b1*b2)/(m1*m2);0 -(b2/m2);(1/m1)+(1/m2) -(k2/m2)]; C=[0 0 1 0]; D=[0 0]; Aa = [[A,[0 0 0 0]'];[C, 0]]; Ba = [B;[0 0]]; Ca = [C,0]; Da = D; K = [0 2.3e6 5e8 0 8e6]; sys = ss(Aa-Ba(:,1)*K,Ba,Ca,Da);  t = 0:0.01:5; r =0.1; initX1=0; initX1d=0; initX2=0; initX2d=0; [y,t,x]=lsim(sys*[0;1],r*ones(size(t)),t,[initX1;initX1d;initX2;initX2d;0])",anonym,OK
1174,2022-05-24,0.1,anonym,OK
1175,2022-05-24,0.1,anonym,OK
1176,2022-05-24,0.1,anonym,OK
1177,2022-05-24,-0.1,anonym,OK
1178,2022-05-24,-0.2,anonym,OK
1179,2022-05-24,-0.5,anonym,OK
1180,2022-05-24,-0.1,anonym,OK
1181,2022-05-24,0.5,anonym,OK
1182,2022-05-24,-0.5,anonym,OK
1183,2022-05-24,0.1,anonym,OK
1184,2022-05-24,0.1,anonym,OK
1185,2022-05-24,0.1,anonym,OK
1186,2022-05-24,0.1,anonym,OK
1187,2022-05-24,"0,1",branko,OK
1188,2022-05-24,0.1,branko,OK
1189,2022-05-24,0.1,branko,OK
1190,2022-05-24,0.2,branko,OK
1191,2022-05-24,0.1,branko,OK
1192,2022-05-24,0.2,branko,OK
1193,2022-05-24,0.1,branko,OK
1194,2022-05-24,0.1,anonym,OK
1195,2022-05-24,0.1,anonym,OK
1196,2022-05-24,0.1,anonym,OK
1197,2022-05-24,0.1,branko,OK
1198,2022-05-24,0.3,branko,OK
1199,2022-05-24,0.1,anonym,OK
1200,2022-05-24,0.1,anonym,OK
1201,2022-05-24,0.1,anonym,OK
1202,2022-05-24,0.1,branko,OK
1203,2022-05-24,0.1,anonym,OK
1204,2022-05-24,0.1,branko,OK
1205,2022-05-24,0.1,anonym,OK
1206,2022-05-24,0.1,bra,OK
1207,2022-05-24,0.1,anonym,OK
1208,2022-05-24,0.1,bbb,OK
1209,2022-05-24,0.1,anonym,OK
1210,2022-05-24,0.1,vvvv,OK
1211,2022-05-24,0.1,dddd,OK
1212,2022-05-24,0.1,anonym,OK
1213,2022-05-24,0.1,anonym,OK
1214,2022-05-24,0.1,anonym,OK
1215,2022-05-24,0.1,anonym,OK
1216,2022-05-24,0.1,anonym,OK
1217,2022-05-24,0.1,anonym,OK
1218,2022-05-24,0.1,anonym,OK
1219,2022-05-24,0.1,anonym,OK
1220,2022-05-24,0.1,anonym,OK
1221,2022-05-24,0.1,anonym,OK
1222,2022-05-24,0.1,anonym,OK
1223,2022-05-24,0.1,anonym,OK
1224,2022-05-24,0.1,anonym,OK
1225,2022-05-24,0.1,anonym,OK
1226,2022-05-24,0.1,anonym,OK
1227,2022-05-24,0.1,anonym,OK
1228,2022-05-24,0.1,anonym,OK
1229,2022-05-24,0.1,anonym,OK
1230,2022-05-24,0.1,anonym,OK
1231,2022-05-24,0.1,anonym,OK
1232,2022-05-24,0.1,anonym,OK
1233,2022-05-24,0.1,anonym,OK
1234,2022-05-24,0.1,anonym,OK
1235,2022-05-24,0.1,anonym,OK
1236,2022-05-24,0.1,anonym,OK
1237,2022-05-24,0.1,anonym,OK
1238,2022-05-24,0.1,anonym,OK
1239,2022-05-24,0.1,anonym,OK
1240,2022-05-24,0.1,anonym,OK
1241,2022-05-24,0.1,anonym,OK
1242,2022-05-24,0.1,anonym,OK
1243,2022-05-24,0.1,anonym,OK
1244,2022-05-24,0.1,anonym,OK
1245,2022-05-24,0.1,anonym,OK
1246,2022-05-24,0.1,anonym,OK
1247,2022-05-24,0.1,anonym,OK
1248,2022-05-24,0.1,anonym,OK
1249,2022-05-24,0.1,anonym,OK
1250,2022-05-24,0.1,anonym,OK
1251,2022-05-24,0.1,anonym,OK
1252,2022-05-24,0.1,anonym,OK
1253,2022-05-24,0.1,anonym,OK
1254,2022-05-24,0.1,anonym,OK
1255,2022-05-24,0.1,anonym,OK
1256,2022-05-24,0.1,anonym,OK
1257,2022-05-24,0.1,anonym,OK
1258,2022-05-24,0.1,anonym,OK
1259,2022-05-24,0.1,anonym,OK
1260,2022-05-24,0.1,anonym,OK
1261,2022-05-24,0.1,anonym,OK
1262,2022-05-24,0.1,anonym,OK
1263,2022-05-24,0.1,anonym,OK
1264,2022-05-24,0.1,anonym,OK
1265,2022-05-24,0.1,anonym,OK
1266,2022-05-24,0.1,anonym,OK
1267,2022-05-24,0.1,anonym,OK
1268,2022-05-24,0.1,anonym,OK
1269,2022-05-24,0.1,anonym,OK
1270,2022-05-24,0.1,anonym,OK
1271,2022-05-24,0.1,anonym,OK
1272,2022-05-24,0.1,anonym,OK
1273,2022-05-24,0.1,anonym,OK
1274,2022-05-24,0.1,anonym,OK
1275,2022-05-24,0.1,anonym,OK
1276,2022-05-24,0.1,anonym,OK
1277,2022-05-24,0.1,anonym,OK
1278,2022-05-24,0.1,anonym,OK
1279,2022-05-24,0.1,anonym,OK
1280,2022-05-24,0.1,anonym,OK
1281,2022-05-24,0.1,anonym,OK
1282,2022-05-24,0.1,anonym,OK
1283,2022-05-24,0.1,anonym,OK
1284,2022-05-24,0.1,anonym,OK
1285,2022-05-24,0.1,anonym,OK
1286,2022-05-24,0.1,anonym,OK
1287,2022-05-24,0.1,anonym,OK
1288,2022-05-24,0.1,anonym,OK
1289,2022-05-24,0.1,anonym,OK
1290,2022-05-24,0.1,anonym,OK
1291,2022-05-24,0.1,anonym,OK
1292,2022-05-24,0.1,anonym,OK
1293,2022-05-24,0.1,anonym,OK
1294,2022-05-24,0.1,anonym,OK
1295,2022-05-24,0.1,anonym,OK
1296,2022-05-24,0.1,anonym,OK
1297,2022-05-24,0.1,anonym,OK
1298,2022-05-24,0.1,anonym,OK
1299,2022-05-24,0.1,anonym,OK
1300,2022-05-24,0.1,anonym,OK
1301,2022-05-24,0.1,anonym,OK
1302,2022-05-24,0.1,anonym,OK
1303,2022-05-24,0.1,anonym,OK
1304,2022-05-24,0.1,anonym,OK
1305,2022-05-24,0.1,anonym,OK
1306,2022-05-24,0.1,anonym,OK
1307,2022-05-24,0.1,anonym,OK
1308,2022-05-24,0.1,anonym,OK
1309,2022-05-24,0.1,anonym,OK
1310,2022-05-24,0.1,anonym,OK
1311,2022-05-24,0.1,anonym,OK
1312,2022-05-24,0.1,anonym,OK
1313,2022-05-24,0.1,anonym,OK
1314,2022-05-24,0.1,anonym,OK
1315,2022-05-24,0.1,anonym,OK
1316,2022-05-24,0.1,anonym,OK
1317,2022-05-24,0.1,anonym,OK
1318,2022-05-24,0.1,anonym,OK
1319,2022-05-24,0.1,anonym,OK
1320,2022-05-24,0.1,anonym,OK
1321,2022-05-24,0.1,anonym,OK
1322,2022-05-24,0.1,anonym,OK
1323,2022-05-24,0.1,anonym,OK
1324,2022-05-24,0.1,anonym,OK
1325,2022-05-24,0.1,anonym,OK
1326,2022-05-24,0.1,anonym,OK
1327,2022-05-24,0.1,anonym,OK
1328,2022-05-24,0.1,anonym,OK
1329,2022-05-24,0.1,anonym,OK
1330,2022-05-24,0.1,anonym,OK
1331,2022-05-24,0.1,anonym,OK
1332,2022-05-24,0.1,anonym,OK
1333,2022-05-24,0.1,anonym,OK
1334,2022-05-24,0.1,anonym,OK
1335,2022-05-24,0.1,anonym,OK
1336,2022-05-24,0.1,anonym,OK
1337,2022-05-24,0.1,anonym,OK
1338,2022-05-24,0.1,anonym,OK
1339,2022-05-24,0.1,anonym,OK
1340,2022-05-24,0.1,anonym,OK
1341,2022-05-24,0.1,anonym,OK
1342,2022-05-24,0.1,anonym,OK
1343,2022-05-24,0.1,anonym,OK
1344,2022-05-24,0.1,anonym,OK
1345,2022-05-24,0.1,anonym,OK
1346,2022-05-24,0.1,anonym,OK
1347,2022-05-24,0.1,anonym,OK
1348,2022-05-24,0.1,anonym,OK
1349,2022-05-24,0.1,anonym,OK
